R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,B_wins,B_losses,B_draw,R_wins,R_losses,R_draw,B_Stance,R_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Tony Ferguson,Aaron Riley,Tom Johnson,09/24_2011,"Denver, Colorado, USA",Red,False,Lightweight,3,4,0,1,0,0,Southpaw,Orthodox,172.72,175.26,155.0,180.34,193.04,155.0,30.0,27.0
Travis Browne,Rob Broughton,Josh Rosenthal,09/24_2011,"Denver, Colorado, USA",Red,False,Heavyweight,1,0,0,2,1,0,Orthodox,Orthodox,187.96,187.96,265.0,198.12,200.66,255.0,28.0,29.0
Nate Diaz,Takanori Gomi,Mario Yamasaki,09/24_2011,"Denver, Colorado, USA",Red,False,Lightweight,1,2,0,8,5,0,Southpaw,Southpaw,170.18,177.8,155.0,182.88,193.04,170.0,33.0,26.0
Nick Ring,Tim Boetsch,Mario Yamasaki,09/24_2011,"Denver, Colorado, USA",Blue,False,Middleweight,4,3,0,2,0,0,Orthodox,Southpaw,182.88,187.96,185.0,182.88,187.96,185.0,30.0,32.0
James Te Huna,Ricardo Romero,Tim Mills,09/24_2011,"Denver, Colorado, USA",Red,False,LightHeavyweight,1,1,0,1,1,0,Orthodox,Orthodox,182.88,193.04,205.0,187.96,190.5,185.0,33.0,29.0
Takeya Mizugaki,Cole Escovedo,Adam Martinez,09/24_2011,"Denver, Colorado, USA",Red,False,Bantamweight,0,1,0,1,1,0,Orthodox,Orthodox,170.18,182.88,135.0,170.18,175.26,135.0,30.0,27.0
Matthew Riddle,Lance Benoist,Dan Miragliotta,09/17_2011,"New Orleans, Louisiana, USA",Blue,False,Welterweight,0,0,0,5,2,0,Southpaw,Southpaw,180.34,182.88,170.0,185.42,193.04,170.0,23.0,25.0
Court McGee,Dongi Yang,Yves Lavigne,09/17_2011,"New Orleans, Louisiana, USA",Red,False,Middleweight,1,1,0,2,0,0,Southpaw,Orthodox,177.8,185.42,185.0,180.34,190.5,170.0,26.0,26.0
Jake Shields,Jake Ellenberger,Kevin Mulhall,09/17_2011,"New Orleans, Louisiana, USA",Blue,False,Welterweight,4,1,0,1,1,0,Orthodox,Orthodox,175.26,180.34,170.0,182.88,182.88,170.0,26.0,32.0
Evan Dunham,Shamar Bailey,Kevin Mulhall,09/17_2011,"New Orleans, Louisiana, USA",Red,False,Lightweight,1,0,0,4,2,0,Southpaw,Southpaw,175.26,190.5,155.0,177.8,177.8,155.0,28.0,29.0
Jonathan Brookins,Erik Koch,Myron Gaudet,09/17_2011,"New Orleans, Louisiana, USA",Blue,False,Featherweight,1,0,0,1,0,0,Southpaw,Southpaw,177.8,180.34,170.0,182.88,187.96,145.0,22.0,26.0
Cody McKenzie,Vagner Rocha,Yves Lavigne,09/17_2011,"New Orleans, Louisiana, USA",Blue,False,Lightweight,0,1,0,1,1,0,Orthodox,Switch,177.8,185.42,155.0,182.88,182.88,155.0,29.0,23.0
Alan Belcher,Jason MacDonald,Dan Miragliotta,09/17_2011,"New Orleans, Louisiana, USA",Red,False,Middleweight,6,6,0,7,4,0,Orthodox,Orthodox,190.5,203.2,185.0,187.96,190.5,185.0,36.0,27.0
Clay Harvison,Seth Baczynski,Yves Lavigne,09/17_2011,"New Orleans, Louisiana, USA",Blue,False,Welterweight,0,1,0,1,0,0,Orthodox,Orthodox,190.5,190.5,170.0,185.42,187.96,170.0,29.0,30.0
Anderson Silva,Yushin Okami,Herb Dean,08/27_2011,"Rio de Janeiro, Brazil",Red,True,Middleweight,10,2,0,13,0,0,Southpaw,Southpaw,187.96,190.5,170.0,187.96,195.58,185.0,30.0,36.0
Antonio Rodrigo Nogueira,Brendan Schaub,Herb Dean,08/27_2011,"Rio de Janeiro, Brazil",Red,False,Heavyweight,4,1,0,3,2,0,Orthodox,Orthodox,193.04,198.12,245.0,190.5,195.58,240.0,28.0,35.0
Rousimar Palhares,Dan Miller,Herb Dean,08/27_2011,"Rio de Janeiro, Brazil",Red,False,Middleweight,5,4,0,5,2,0,Orthodox,Orthodox,185.42,187.96,185.0,172.72,180.34,170.0,30.0,31.0
Ross Pearson,Edson Barboza,Mario Yamasaki,08/27_2011,"Rio de Janeiro, Brazil",Blue,False,Lightweight,2,0,0,4,1,0,Orthodox,Orthodox,180.34,190.5,145.0,172.72,175.26,155.0,25.0,26.0
Thiago Tavares,Spencer Fisher,Marc Goddard,08/27_2011,"Rio de Janeiro, Brazil",Red,False,Lightweight,9,6,0,5,5,0,Southpaw,Orthodox,170.18,172.72,155.0,170.18,177.8,145.0,35.0,26.0
Paulo Thiago,David Mitchell,Mario Yamasaki,08/27_2011,"Rio de Janeiro, Brazil",Red,False,Welterweight,0,1,0,3,3,0,Orthodox,Orthodox,182.88,190.5,170.0,180.34,187.96,170.0,31.0,30.0
Mauricio Rua,Forrest Griffin,Marc Goddard,08/27_2011,"Rio de Janeiro, Brazil",Red,False,LightHeavyweight,9,4,0,3,3,0,Orthodox,Orthodox,190.5,195.58,205.0,185.42,193.04,205.0,32.0,29.0
Luiz Cane,Stanislav Nedkov,Mario Yamasaki,08/27_2011,"Rio de Janeiro, Brazil",Blue,False,LightHeavyweight,0,0,0,4,3,0,Orthodox,Southpaw,180.34,180.34,205.0,187.96,195.58,185.0,29.0,30.0
Iuri Alcantara,Felipe Arantes,Mario Yamasaki,08/27_2011,"Rio de Janeiro, Brazil",Red,False,Featherweight,0,0,0,0,0,0,Orthodox,Southpaw,172.72,185.42,135.0,175.26,180.34,135.0,23.0,31.0
Raphael Assuncao,Johnny Eduardo,Marc Goddard,08/27_2011,"Rio de Janeiro, Brazil",Red,False,Bantamweight,0,0,0,0,1,0,Orthodox,Orthodox,170.18,180.34,135.0,165.1,167.64,135.0,33.0,29.0
Amir Sadollah,Duane Ludwig,Rob Hinds,08/14_2011,"Milwaukee, Wisconsin, USA",Blue,False,Welterweight,3,2,0,5,2,0,Orthodox,Orthodox,177.8,177.8,170.0,177.8,190.5,170.0,33.0,30.0
Jim Miller,Benson Henderson,Josh Rosenthal,08/14_2011,"Milwaukee, Wisconsin, USA",Blue,False,Lightweight,1,0,0,9,1,0,Southpaw,Southpaw,175.26,177.8,170.0,172.72,180.34,155.0,27.0,27.0
Ed Herman,Kyle Noke,Mario Yamasaki,08/14_2011,"Milwaukee, Wisconsin, USA",Red,False,Middleweight,3,0,0,5,5,0,Southpaw,Orthodox,185.42,193.04,170.0,185.42,195.58,205.0,31.0,30.0
Ronny Markes,Karlos Vemola,Rob Hinds,08/14_2011,"Milwaukee, Wisconsin, USA",Red,False,LightHeavyweight,1,1,0,0,0,0,Orthodox,Orthodox,182.88,190.5,185.0,185.42,190.5,185.0,26.0,23.0
CB Dollaway,Jared Hamman,Herb Dean,08/14_2011,"Milwaukee, Wisconsin, USA",Blue,False,Middleweight,1,2,0,5,3,0,Orthodox,Orthodox,190.5,190.5,185.0,187.96,193.04,185.0,29.0,28.0
Joseph Benavidez,Eddie Wineland,Josh Rosenthal,08/14_2011,"Milwaukee, Wisconsin, USA",Red,False,Bantamweight,0,1,0,1,0,0,Orthodox,Southpaw,170.18,175.26,135.0,162.56,165.1,125.0,27.0,27.0
Dan Hardy,Chris Lytle,Herb Dean,08/14_2011,"Milwaukee, Wisconsin, USA",Blue,False,Welterweight,9,10,0,4,3,0,Orthodox,Orthodox,180.34,172.72,170.0,182.88,187.96,170.0,36.0,29.0
Donald Cerrone,Charles Oliveira,Mario Yamasaki,08/14_2011,"Milwaukee, Wisconsin, USA",Red,False,Lightweight,2,2,0,2,0,0,Orthodox,Orthodox,177.8,187.96,155.0,185.42,185.42,155.0,21.0,28.0
Jimy Hettes,Alex Caceres,Herb Dean,08/14_2011,"Milwaukee, Wisconsin, USA",Red,False,Featherweight,0,1,0,0,0,0,Southpaw,Southpaw,177.8,185.42,145.0,175.26,180.34,145.0,23.0,24.0
Jacob Volkmann,Danny Castillo,Mario Yamasaki,08/14_2011,"Milwaukee, Wisconsin, USA",Red,False,Lightweight,1,0,0,3,2,0,Orthodox,Southpaw,175.26,180.34,155.0,175.26,180.34,155.0,31.0,30.0
Ivan Menjivar,Nick Pace,Keith Peterson,08/06_2011,"Philadelphia, Pennsylvania, USA",Red,False,Bantamweight,1,0,0,1,1,0,Orthodox,Orthodox,170.18,172.72,135.0,167.64,162.56,145.0,24.0,29.0
Vitor Belfort,Yoshihiro Akiyama,Mario Yamasaki,08/06_2011,"Philadelphia, Pennsylvania, USA",Red,False,Middleweight,1,2,0,8,5,0,Orthodox,Southpaw,177.8,190.5,170.0,182.88,187.96,185.0,36.0,34.0
Dennis Hallman,Brian Ebersole,Kevin Mulhall,08/06_2011,"Philadelphia, Pennsylvania, USA",Blue,False,Welterweight,1,0,0,3,4,0,Southpaw,Orthodox,182.88,185.42,170.0,175.26,182.88,155.0,30.0,35.0
Jorge Rivera,Constantinos Philippou,Mario Yamasaki,08/06_2011,"Philadelphia, Pennsylvania, USA",Blue,False,Middleweight,0,1,0,7,6,0,Orthodox,Orthodox,180.34,185.42,185.0,185.42,185.42,185.0,31.0,39.0
Matt Hamill,Alexander Gustafsson,Dan Miragliotta,08/06_2011,"Philadelphia, Pennsylvania, USA",Blue,False,LightHeavyweight,3,1,0,9,3,0,Orthodox,Orthodox,195.58,200.66,205.0,185.42,193.04,205.0,24.0,34.0
Chad Mendes,Rani Yahya,Keith Peterson,08/06_2011,"Philadelphia, Pennsylvania, USA",Red,False,Featherweight,1,0,0,1,0,0,Orthodox,Orthodox,167.64,170.18,135.0,167.64,167.64,145.0,26.0,26.0
Rashad Evans,Tito Ortiz,Dan Miragliotta,08/06_2011,"Philadelphia, Pennsylvania, USA",Red,False,LightHeavyweight,15,9,0,10,2,0,Orthodox,Orthodox,190.5,187.96,205.0,182.88,190.5,205.0,36.0,31.0
Rory MacDonald,Mike Pyle,Kevin Mulhall,08/06_2011,"Philadelphia, Pennsylvania, USA",Red,False,Welterweight,4,2,0,2,1,0,Orthodox,Orthodox,182.88,187.96,170.0,182.88,193.04,170.0,35.0,22.0
Johny Hendricks,Mike Pierce,Mario Yamasaki,08/06_2011,"Philadelphia, Pennsylvania, USA",Red,False,Welterweight,4,1,0,5,1,0,Orthodox,Southpaw,172.72,180.34,170.0,175.26,175.26,185.0,30.0,27.0
Mike Brown,Nam Phan,Keith Peterson,08/06_2011,"Philadelphia, Pennsylvania, USA",Red,False,Featherweight,0,1,0,0,3,0,Orthodox,Orthodox,167.64,177.8,135.0,167.64,177.8,145.0,28.0,35.0
Melvin Guillard,Shane Roller,Josh Rosenthal,07/02_2011,"Las Vegas, Nevada, USA",Red,False,Lightweight,1,0,0,9,4,0,Orthodox,Orthodox,177.8,182.88,155.0,175.26,180.34,155.0,31.0,28.0
Brian Bowles,Takeya Mizugaki,Mario Yamasaki,07/02_2011,"Las Vegas, Nevada, USA",Red,False,Bantamweight,1,0,0,1,0,0,Orthodox,Orthodox,170.18,175.26,135.0,170.18,177.8,135.0,27.0,31.0
Tito Ortiz,Ryan Bader,Mario Yamasaki,07/02_2011,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,5,1,0,14,9,0,Orthodox,Orthodox,187.96,187.96,205.0,190.5,187.96,205.0,28.0,36.0
Dominick Cruz,Urijah Faber,Steve Mazzagatti,07/02_2011,"Las Vegas, Nevada, USA",Red,True,Bantamweight,1,0,0,0,0,0,Orthodox,Orthodox,167.64,170.18,135.0,172.72,172.72,135.0,32.0,26.0
Carlos Condit,Dong Hyun Kim,Steve Mazzagatti,07/02_2011,"Las Vegas, Nevada, USA",Red,False,Welterweight,5,1,0,3,1,0,Southpaw,Orthodox,187.96,193.04,170.0,187.96,190.5,170.0,29.0,27.0
Wanderlei Silva,Chris Leben,Josh Rosenthal,07/02_2011,"Las Vegas, Nevada, USA",Blue,False,Middleweight,11,6,0,3,5,0,Southpaw,Orthodox,180.34,185.42,185.0,180.34,187.96,205.0,30.0,34.0
Dennis Siver,Matt Wiman,Yves Lavigne,07/02_2011,"Las Vegas, Nevada, USA",Red,False,Lightweight,7,3,0,7,4,0,Orthodox,Orthodox,177.8,172.72,155.0,167.64,177.8,145.0,27.0,32.0
George Sotiropoulos,Rafael Dos Anjos,Yves Lavigne,07/02_2011,"Las Vegas, Nevada, USA",Blue,False,Lightweight,3,3,0,7,1,0,Southpaw,Orthodox,172.72,177.8,155.0,177.8,180.34,155.0,26.0,33.0
Brad Tavares,Aaron Simpson,Josh Rosenthal,07/02_2011,"Las Vegas, Nevada, USA",Blue,False,Middleweight,4,2,0,2,0,0,Orthodox,Orthodox,182.88,185.42,170.0,185.42,187.96,185.0,36.0,23.0
Anthony Njokuani,Andre Winner,Yves Lavigne,07/02_2011,"Las Vegas, Nevada, USA",Red,False,Lightweight,2,3,0,0,1,0,Orthodox,Orthodox,180.34,185.42,155.0,185.42,190.5,155.0,29.0,31.0
Daniel Roberts,Rich Attonito,Keith Peterson,06/26_2011,"Pittsburgh, Pennsylvania, USA",Blue,False,Welterweight,2,1,0,3,2,0,Orthodox,Southpaw,177.8,182.88,170.0,177.8,187.96,170.0,34.0,30.0
Cheick Kongo,Pat Barry,Dan Miragliotta,06/26_2011,"Pittsburgh, Pennsylvania, USA",Red,False,Heavyweight,3,2,0,8,5,0,Orthodox,Orthodox,180.34,187.96,235.0,193.04,208.28,240.0,31.0,36.0
Matt Brown,John Howard,Dan Miragliotta,06/26_2011,"Pittsburgh, Pennsylvania, USA",Red,False,Welterweight,4,2,0,4,4,0,Orthodox,Orthodox,170.18,182.88,170.0,182.88,190.5,170.0,28.0,30.0
Tyson Griffin,Manvel Gamburyan,Chip Snider,06/26_2011,"Pittsburgh, Pennsylvania, USA",Red,False,Featherweight,2,3,0,7,5,0,Orthodox,Orthodox,165.1,170.18,135.0,167.64,172.72,145.0,30.0,27.0
Joe Stevenson,Javier Vazquez,Keith Peterson,06/26_2011,"Pittsburgh, Pennsylvania, USA",Blue,False,Featherweight,0,0,0,8,7,0,Southpaw,Orthodox,170.18,175.26,145.0,170.18,177.8,145.0,33.0,29.0
Christian Morecraft,Matt Mitrione,Mark Matheny,06/26_2011,"Pittsburgh, Pennsylvania, USA",Blue,False,Heavyweight,4,0,0,1,1,0,Switch,Orthodox,190.5,208.28,265.0,198.12,205.74,260.0,32.0,24.0
Charlie Brenneman,Rick Story,Mark Matheny,06/26_2011,"Pittsburgh, Pennsylvania, USA",Red,False,Welterweight,6,1,0,2,1,0,Southpaw,Orthodox,175.26,180.34,170.0,177.8,177.8,155.0,26.0,30.0
Nik Lentz,Charles Oliveira,Chip Snider,06/26_2011,"Pittsburgh, Pennsylvania, USA",Draw,False,Lightweight,2,1,0,5,1,0,Orthodox,Orthodox,177.8,187.96,155.0,172.72,172.72,145.0,21.0,26.0
Ricardo Lamas,Matt Grice,Keith Peterson,06/26_2011,"Pittsburgh, Pennsylvania, USA",Red,False,Featherweight,1,3,0,0,0,0,Orthodox,Orthodox,172.72,177.8,145.0,172.72,180.34,145.0,29.0,29.0
Mark Munoz,Demian Maia,Jerin Valel,06/11_2011,"Vancouver, British Columbia, Canada",Red,False,Middleweight,8,2,0,5,2,0,Southpaw,Orthodox,185.42,182.88,170.0,182.88,180.34,185.0,33.0,33.0
Vagner Rocha,Donald Cerrone,Herb Dean,06/11_2011,"Vancouver, British Columbia, Canada",Blue,False,Lightweight,1,0,0,0,0,0,Orthodox,Orthodox,185.42,185.42,155.0,177.8,185.42,155.0,28.0,29.0
Shane Carwin,Junior Dos Santos,Herb Dean,06/11_2011,"Vancouver, British Columbia, Canada",Blue,False,Heavyweight,6,0,0,4,1,0,Orthodox,Orthodox,193.04,195.58,238.0,187.96,203.2,265.0,27.0,36.0
Mike Massenzio,Krzysztof Soszynski,Kevin Dornan,06/11_2011,"Vancouver, British Columbia, Canada",Blue,False,LightHeavyweight,5,2,0,1,2,0,Open Stance,Southpaw,185.42,195.58,205.0,187.96,185.42,185.0,33.0,28.0
Yves Edwards,Sam Stout,John McCarthy,06/11_2011,"Vancouver, British Columbia, Canada",Blue,False,Lightweight,5,5,0,8,4,0,Orthodox,Southpaw,175.26,177.8,155.0,175.26,185.42,155.0,27.0,34.0
Kenny Florian,Diego Nunes,John McCarthy,06/11_2011,"Vancouver, British Columbia, Canada",Red,False,Featherweight,1,0,0,11,4,0,Orthodox,Southpaw,167.64,170.18,145.0,177.8,187.96,145.0,28.0,35.0
Dustin Poirier,Jason Young,John McCarthy,06/11_2011,"Vancouver, British Columbia, Canada",Red,False,Featherweight,0,0,0,1,0,0,Orthodox,Southpaw,175.26,185.42,145.0,175.26,182.88,155.0,24.0,22.0
Nick Ring,James Head,Herb Dean,06/11_2011,"Vancouver, British Columbia, Canada",Red,False,Middleweight,0,0,0,1,0,0,Orthodox,Southpaw,185.42,185.42,170.0,182.88,187.96,185.0,27.0,32.0
Joey Beltran,Aaron Rosa,Jerin Valel,06/11_2011,"Vancouver, British Columbia, Canada",Red,False,Heavyweight,0,0,0,2,2,0,Orthodox,Orthodox,193.04,195.58,205.0,185.42,190.5,185.0,28.0,29.0
Darren Elkins,Michihiro Omigawa,Kevin Dornan,06/11_2011,"Vancouver, British Columbia, Canada",Red,False,Featherweight,0,3,0,1,1,0,Orthodox,Orthodox,167.64,172.72,145.0,177.8,180.34,145.0,35.0,27.0
Ramsey Nijem,Tony Ferguson,Josh Rosenthal,06/04_2011,"Las Vegas, Nevada, USA",Blue,True,Welterweight,0,0,0,0,0,0,Orthodox,Orthodox,180.34,193.04,155.0,180.34,190.5,155.0,27.0,23.0
Josh Grispi,George Roop,Herb Dean,06/04_2011,"Las Vegas, Nevada, USA",Blue,False,Featherweight,1,3,0,0,1,0,Orthodox,Orthodox,185.42,182.88,135.0,180.34,187.96,145.0,29.0,22.0
Fabio Maldonado,Kyle Kingsbury,Chris Tognoni,06/04_2011,"Las Vegas, Nevada, USA",Blue,False,LightHeavyweight,3,1,0,1,0,0,Orthodox,Orthodox,193.04,200.66,205.0,185.42,190.5,205.0,29.0,31.0
Clay Guida,Anthony Pettis,Steve Mazzagatti,06/04_2011,"Las Vegas, Nevada, USA",Red,False,Lightweight,0,0,0,8,5,0,Orthodox,Orthodox,177.8,182.88,155.0,170.18,177.8,155.0,24.0,29.0
Danny Downes,Jeremy Stephens,Steve Mazzagatti,06/04_2011,"Las Vegas, Nevada, USA",Blue,False,Lightweight,6,5,0,0,0,0,Orthodox,Orthodox,175.26,180.34,145.0,182.88,182.88,155.0,25.0,25.0
Ed Herman,Tim Credeur,Herb Dean,06/04_2011,"Las Vegas, Nevada, USA",Red,False,Middleweight,3,1,0,4,5,0,Orthodox,Orthodox,190.5,190.5,185.0,185.42,195.58,205.0,33.0,30.0
Clay Harvison,Justin Edwards,Josh Rosenthal,06/04_2011,"Las Vegas, Nevada, USA",Red,False,Welterweight,0,0,0,0,0,0,Orthodox,Orthodox,177.8,177.8,155.0,185.42,187.96,170.0,28.0,30.0
Scott Jorgensen,Ken Stone,Steve Mazzagatti,06/04_2011,"Las Vegas, Nevada, USA",Red,False,Bantamweight,0,0,0,0,0,0,Southpaw,Orthodox,172.72,180.34,135.0,165.1,167.64,135.0,28.0,28.0
Reuben Duran,Francisco Rivera,Herb Dean,06/04_2011,"Las Vegas, Nevada, USA",Red,False,Bantamweight,0,0,0,0,1,0,Orthodox,Orthodox,172.72,177.8,135.0,170.18,180.34,135.0,29.0,27.0
Gleison Tibau,Rafaello Oliveira,Kim Winslow,05/28_2011,"Las Vegas, Nevada, USA",Red,False,Lightweight,1,2,0,8,5,0,Orthodox,Southpaw,172.72,180.34,155.0,177.8,180.34,155.0,29.0,27.0
Stefan Struve,Travis Browne,Steve Mazzagatti,05/28_2011,"Las Vegas, Nevada, USA",Blue,False,Heavyweight,1,1,0,5,2,0,Orthodox,Orthodox,198.12,200.66,255.0,210.82,213.36,265.0,28.0,23.0
Brian Stann,Jorge Santiago,Herb Dean,05/28_2011,"Las Vegas, Nevada, USA",Red,False,Middleweight,1,2,0,4,2,0,Orthodox,Orthodox,185.42,190.5,170.0,185.42,187.96,205.0,30.0,30.0
Thiago Alves,Rick Story,Kim Winslow,05/28_2011,"Las Vegas, Nevada, USA",Blue,False,Welterweight,5,1,0,10,4,0,Southpaw,Orthodox,175.26,180.34,170.0,175.26,177.8,170.0,26.0,27.0
Miguel Torres,Demetrious Johnson,Josh Rosenthal,05/28_2011,"Las Vegas, Nevada, USA",Blue,False,Bantamweight,1,0,0,1,0,0,Orthodox,Orthodox,160.02,167.64,125.0,175.26,193.04,135.0,24.0,30.0
Quinton Jackson,Matt Hamill,Herb Dean,05/28_2011,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,9,2,0,6,2,0,Orthodox,Orthodox,185.42,193.04,205.0,185.42,185.42,205.0,34.0,32.0
Frank Mir,Roy Nelson,Josh Rosenthal,05/28_2011,"Las Vegas, Nevada, USA",Red,False,Heavyweight,2,1,0,12,5,0,Orthodox,Southpaw,182.88,185.42,263.0,190.5,200.66,264.0,34.0,32.0
Kendall Grove,Tim Boetsch,Steve Mazzagatti,05/28_2011,"Las Vegas, Nevada, USA",Blue,False,Middleweight,3,3,0,7,5,0,Orthodox,Orthodox,182.88,187.96,185.0,198.12,200.66,185.0,30.0,28.0
Michael McDonald,Chris Cariaso,Josh Rosenthal,05/28_2011,"Las Vegas, Nevada, USA",Red,False,Bantamweight,1,0,0,1,0,0,Southpaw,Orthodox,160.02,162.56,125.0,175.26,177.8,135.0,30.0,20.0
Cole Escovedo,Renan Barao,Steve Mazzagatti,05/28_2011,"Las Vegas, Nevada, USA",Blue,False,Bantamweight,0,0,0,0,0,0,Orthodox,Orthodox,167.64,177.8,145.0,170.18,182.88,135.0,24.0,29.0
Jake Ellenberger,Sean Pierson,Herb Dean,04/30_2011,"Toronto, Ontario, Canada",Red,False,Welterweight,1,0,0,3,1,0,Southpaw,Orthodox,182.88,193.04,170.0,175.26,180.34,170.0,35.0,26.0
Vladimir Matyushenko,Jason Brilz,Dan Miragliotta,04/30_2011,"Toronto, Ontario, Canada",Red,False,LightHeavyweight,3,2,0,6,3,0,Orthodox,Orthodox,180.34,180.34,205.0,182.88,187.96,205.0,35.0,40.0
Mark Bocek,Benson Henderson,Yves Lavigne,04/30_2011,"Toronto, Ontario, Canada",Blue,False,Lightweight,0,0,0,5,3,0,Southpaw,Orthodox,175.26,177.8,170.0,172.72,190.5,155.0,27.0,29.0
Georges St-Pierre,Jake Shields,Herb Dean,04/30_2011,"Toronto, Ontario, Canada",Red,True,Welterweight,1,0,0,15,2,0,Orthodox,Orthodox,182.88,182.88,170.0,180.34,193.04,185.0,32.0,29.0
Jose Aldo,Mark Hominick,John McCarthy,04/30_2011,"Toronto, Ontario, Canada",Red,True,Featherweight,3,0,0,0,0,0,Orthodox,Orthodox,172.72,172.72,145.0,170.18,177.8,135.0,28.0,24.0
Daniel Roberts,Claude Patrick,Dan Miragliotta,04/30_2011,"Toronto, Ontario, Canada",Blue,False,Welterweight,2,0,0,3,1,0,Orthodox,Southpaw,180.34,190.5,170.0,177.8,187.96,170.0,30.0,30.0
Lyoto Machida,Randy Couture,Yves Lavigne,04/30_2011,"Toronto, Ontario, Canada",Red,False,LightHeavyweight,16,7,0,8,2,0,Orthodox,Southpaw,185.42,190.5,205.0,185.42,187.96,185.0,47.0,32.0
Nate Diaz,Rory MacDonald,John McCarthy,04/30_2011,"Toronto, Ontario, Canada",Blue,False,Welterweight,1,1,0,8,4,0,Orthodox,Southpaw,182.88,193.04,170.0,182.88,193.04,170.0,21.0,26.0
Yves Jabouin,Pablo Garza,Yves Lavigne,04/30_2011,"Toronto, Ontario, Canada",Blue,False,Featherweight,1,0,0,0,0,0,Orthodox,Orthodox,185.42,185.42,145.0,170.18,172.72,135.0,27.0,31.0
Ivan Menjivar,Charlie Valencia,John McCarthy,04/30_2011,"Toronto, Ontario, Canada",Red,False,Bantamweight,0,0,0,0,1,0,Orthodox,Orthodox,160.02,162.56,135.0,167.64,162.56,145.0,36.0,28.0
Jason MacDonald,Ryan Jensen,Herb Dean,04/30_2011,"Toronto, Ontario, Canada",Red,False,Middleweight,2,5,0,5,6,0,Orthodox,Orthodox,185.42,193.04,185.0,190.5,203.2,185.0,33.0,35.0
DaMarques Johnson,Amir Sadollah,Mario Yamasaki,03/26_2011,"Seattle, Washington, USA",Blue,False,Welterweight,4,2,0,3,2,0,Orthodox,Orthodox,177.8,190.5,170.0,185.42,190.5,170.0,30.0,28.0
Anthony Johnson,Dan Hardy,Josh Rosenthal,03/26_2011,"Seattle, Washington, USA",Red,False,Welterweight,4,2,0,5,3,0,Orthodox,Orthodox,182.88,187.96,170.0,187.96,198.12,205.0,28.0,27.0
Chan Sung Jung,Leonard Garcia,Dan Miragliotta,03/26_2011,"Seattle, Washington, USA",Red,False,Featherweight,2,2,0,0,0,0,Orthodox,Orthodox,177.8,172.72,145.0,170.18,182.88,145.0,31.0,24.0
John Hathaway,Kris McCray,Herb Dean,03/26_2011,"Seattle, Washington, USA",Red,False,Welterweight,0,2,0,4,1,0,Orthodox,Orthodox,182.88,193.04,170.0,185.42,190.5,170.0,29.0,23.0
Alex Caceres,Mackens Semerzier,Mario Yamasaki,03/26_2011,"Seattle, Washington, USA",Blue,False,Featherweight,0,0,0,0,0,0,Orthodox,Southpaw,175.26,182.88,145.0,177.8,185.42,145.0,30.0,22.0
Jon Madsen,Mike Russow,Anthony Hamlett,03/26_2011,"Seattle, Washington, USA",Blue,False,Heavyweight,2,0,0,4,0,0,Orthodox,Orthodox,185.42,185.42,255.0,182.88,182.88,240.0,34.0,31.0
Michael McDonald,Edwin Figueroa,Josh Rosenthal,03/26_2011,"Seattle, Washington, USA",Red,False,Bantamweight,0,0,0,0,0,0,Orthodox,Orthodox,170.18,175.26,135.0,175.26,177.8,135.0,26.0,20.0
Phil Davis,Rogerio Nogueira,Herb Dean,03/26_2011,"Seattle, Washington, USA",Red,False,LightHeavyweight,2,1,0,4,0,0,Southpaw,Orthodox,187.96,190.5,205.0,187.96,200.66,205.0,34.0,26.0
Johny Hendricks,TJ Waldburger,Mario Yamasaki,03/26_2011,"Seattle, Washington, USA",Red,False,Welterweight,1,0,0,4,1,0,Orthodox,Southpaw,180.34,190.5,170.0,175.26,175.26,185.0,22.0,27.0
Mario Miranda,Aaron Simpson,Dan Miragliotta,03/26_2011,"Seattle, Washington, USA",Blue,False,Middleweight,3,2,0,1,2,0,Orthodox,Orthodox,182.88,185.42,170.0,190.5,187.96,185.0,36.0,31.0
Sean McCorkle,Christian Morecraft,Anthony Hamlett,03/26_2011,"Seattle, Washington, USA",Blue,False,Heavyweight,0,1,0,1,1,0,Orthodox,Orthodox,198.12,205.74,260.0,200.66,205.74,265.0,24.0,34.0
Luiz Cane,Eliot Marshall,Dan Miragliotta,03/19_2011,"Newark, New Jersey, USA",Red,False,LightHeavyweight,3,1,0,3,3,0,Orthodox,Southpaw,187.96,195.58,205.0,187.96,195.58,185.0,30.0,29.0
Urijah Faber,Eddie Wineland,Keith Peterson,03/19_2011,"Newark, New Jersey, USA",Red,False,Bantamweight,0,0,0,0,0,0,Orthodox,Orthodox,170.18,175.26,135.0,167.64,170.18,135.0,26.0,31.0
Dan Miller,Nate Marquardt,Dan Miragliotta,03/19_2011,"Newark, New Jersey, USA",Blue,False,Middleweight,9,4,0,5,3,0,Orthodox,Orthodox,182.88,187.96,185.0,185.42,187.96,185.0,31.0,29.0
Jim Miller,Kamal Shalorus,Kevin Mulhall,03/19_2011,"Newark, New Jersey, USA",Red,False,Lightweight,0,0,0,8,1,0,Orthodox,Southpaw,172.72,172.72,155.0,172.72,180.34,155.0,38.0,27.0
